What is the primary role of an operating system (OS) as described in the text?,To manage hardware sales and distribution.,To provide an environment for program execution.,To write application software for users.,To design computer hardware components.,"To exclusively run a single, dedicated application.",B,The text states: 'An operating system (OS) provides the environment for program execution.'
"According to the text, in what ways can an operating system be viewed?","By its hardware specifications, software licenses, and market share.","By its services, user/programmer interface, or internal components.","By its development team, release history, and financial backing.","By its boot-up time, power consumption, and physical size.","By its network connectivity, security patches, and application compatibility.",B,"The text mentions: 'We can view an OS by its services, user/programmer interface, or internal components.'"
"Beyond providing an environment for program execution, what additional benefit do operating system services offer?",They primarily increase hardware manufacturing costs.,They simplify programming tasks.,They automatically generate program code.,They reduce the need for system administrators.,They are exclusively for system debugging purposes.,B,The text states that OS services 'also simplify programming tasks.'
"Which operating system service is responsible for providing interaction via graphical user interfaces (GUI), touch-screens, or command-line interfaces (CLI)?",Program execution,I/O operations,User interface (UI),Communications,Error detection,C,"The text lists 'User interface (UI)' as providing interaction via GUI, touch-screen, or CLI."
"Loading, running, and terminating programs are functions of which operating system service?",File-system manipulation,Resource allocation,Program execution,Logging,Protection and security,C,"The text defines 'Program execution' as loading, running, and terminating programs."
The operating system service that manages program access to files and I/O devices for efficiency and protection is known as:,Error detection,I/O operations,Resource allocation,User interface,Communications,B,The text explicitly states 'I/O operations' manages program access to files and I/O devices for efficiency and protection.
"Which operating system service handles operations such as reading, writing, creating, deleting, searching, and listing files and directories, along with managing permissions?",Program execution,Resource allocation,Logging,File-system manipulation,Protection and security,D,'File-system manipulation' is described as handling file/directory operations and permissions.
"Inter-process communication (IPC) via shared memory or message passing, both locally and across networks, is enabled by which OS service?",Error detection,Resource allocation,Communications,I/O operations,User interface,C,'Communications' is stated to enable inter-process communication (IPC) via shared memory or message passing.
Which two methods are explicitly mentioned for inter-process communication (IPC) within the operating system's 'Communications' service?,Polling and interrupts,Shared memory and message passing,Direct memory access and buffering,System calls and API calls,Networking sockets and pipes,B,The text specifies that 'Communications' enables IPC via 'shared memory or message passing'.
"Constantly detecting and correcting errors in hardware, I/O devices, and user programs, and taking appropriate action (e.g., halting, terminating process, returning error code), is a function of which OS service?",Logging,Resource allocation,Protection and security,Error detection,File-system manipulation,D,'Error detection' is described as detecting and correcting errors and taking appropriate action.
"Which operating system function ensures efficient system operation by managing the allocation of CPU cycles, memory, file storage, and I/O devices to multiple running processes?",Communications,User interface,Error detection,Resource allocation,Program execution,D,"'Resource allocation' is defined as managing the allocation of CPU cycles, memory, file storage, and I/O devices to multiple processes."
