Front,Back
What is virtual memory?,A technique allowing execution of a process not completely in memory; it separates logical memory from physical memory.
What is a major advantage of virtual memory?,It allows programs to be larger than the physical memory available.
How does virtual memory abstract main memory?,"It abstracts main memory into a large, uniform storage array."
What is the relationship between logical and physical memory in virtual memory systems?,Virtual memory separates logical memory (the programmer's view) from physical memory.
How does virtual memory benefit programmers?,It frees programmers from memory-storage limitations and simplifies programming by removing worries about physical memory limits.
What sharing capabilities does virtual memory enable for processes?,"It allows processes to share files, libraries, and implement shared memory."
How does virtual memory impact process creation?,"It provides an efficient mechanism for process creation, including sharing pages during process creation (fork())."
What are potential drawbacks or considerations for virtual memory implementation?,Its implementation is complex and can decrease performance if used carelessly.
How did traditional memory management differ from virtual memory regarding process execution?,Traditional memory management required the entire process to be in physical memory for execution.
What was a limitation of traditional memory management regarding program size?,Program size was limited by the physical memory available.
Why do real programs often not need their entire code in memory?,"They may contain error handling code (seldom executed), arrays/lists allocated more memory than needed, or rare program options/features that are rarely used."
What are the benefits of executing only partial programs in memory?,"1. Programs are not constrained by physical memory size, allowing for a large virtual address space.
2. Less physical memory is needed per program, allowing more programs to run concurrently, increasing CPU utilization and throughput (without increasing response/turnaround time).
3. Less I/O is required for loading/swapping, leading to faster program execution."
What is a virtual address space?,It is the logical view of how a process is stored in memory.
How is a process's storage typically viewed in its virtual address space?,It typically starts at logical address 0 with contiguous memory.
How is physical memory organized in relation to logical pages?,"Physical memory is organized in page frames, which are not necessarily contiguous."
What is the function of the Memory-Management Unit (MMU) in virtual memory?,It maps logical pages to physical page frames.
How do the heap and stack grow within a virtual address space?,"The heap grows upward, and the stack grows downward."
What is the purpose of the large blank space typically found between the heap and stack in a virtual address space?,This space is part of the virtual address space but only requires physical pages if the heap or stack grows into it.
"What are ""sparse"" address spaces?","Virtual address spaces with holes; describes a page table with noncontiguous, scattered entries or an address space with many holes."
What are the benefits of sparse address spaces?,"1. Holes can be filled as the stack or heap grows.
2. They facilitate dynamic linking of libraries/shared objects during execution."
How does virtual memory enable sharing of system libraries?,"System libraries (e.g., standard C library) are shared by mapping them into the virtual address space, typically as read-only, with physical pages shared by multiple processes."
How do processes use virtual memory for communication?,Processes can share memory regions for communication.
How does Linux manage virtual memory?,Using demand paging.
How does Linux allocate pages?,From a list of free frames.
What page-replacement policy does Linux use?,A global policy similar to the LRU-approximation clock algorithm (second-chance).
What are the two main page lists maintained by Linux's virtual memory system?,`active_list` and `inactive_list`.
What is the purpose of the `active_list` in Linux's virtual memory management?,It contains pages considered in use.
What is the purpose of the `inactive_list` in Linux's virtual memory management?,"It contains pages not recently referenced, which are eligible for reclamation."
What bit is associated with each page in Linux to track its usage?,An `accessed` bit.
What happens when a page is first allocated in Linux regarding its `accessed` bit and list placement?,"Its `accessed` bit is set, and it's added to the rear of the `active_list`."
What happens when a page already in the `active_list` in Linux is referenced?,"Its `accessed` bit is set, and it moves to the rear of the `active_list`."
How often are the `accessed` bits for pages in the `active_list` reset in Linux?,Periodically.
"In Linux, where is the least recently used page typically found in the `active_list`, and what can happen to it?","At the front of the `active_list`, and it may migrate to the rear of the `inactive_list`."
What happens when a page in the `inactive_list` in Linux is referenced?,It moves back to the rear of the `active_list`.
What is the goal regarding the size of the `active_list` and `inactive_list` in Linux?,They are kept in relative balance.
What happens in Linux if the `active_list` grows larger than the `inactive_list`?,"Pages from the front of the `active_list` move to the `inactive_list`, making them eligible for reclamation."
What is the name of the page-out daemon process in the Linux kernel?,`kswapd`.
What is the primary function of the `kswapd` process in Linux?,It periodically awakens and checks the amount of free memory.
What action does `kswapd` take in Linux if free memory falls below a certain threshold?,It scans the `inactive_list` and reclaims pages for the free list.
What system architectures does Windows 10 support?,"32-bit and 64-bit systems (Intel, ARM)."
What is the default virtual address space and physical memory limit for 32-bit systems in Windows?,"Default 2 GB virtual address space (extendable to 3 GB), 4 GB physical memory."
What is the virtual address space and physical memory limit for 64-bit systems in Windows?,"128-TB virtual address space, up to 24 TB physical memory (Windows Server up to 128 TB)."
List key virtual memory management features implemented in Windows.,"Shared libraries, demand paging, copy-on-write, paging, memory compression."
How does Windows implement demand paging for virtual memory?,With clustering.
Define clustering in the context of Windows virtual memory management.,Paging in a group of contiguous pages when a single page is requested via a page fault.
How does clustering handle page faults in Windows?,By bringing in the faulting page plus several immediately preceding and/or following pages.
What is the cluster size for a data page fault in Windows?,3 pages (the faulting page + one before + one after).
What is the cluster size for other types of page faults in Windows?,7 pages.
"What is a key component of virtual memory management in Windows, related to page allocation for processes?",Working-set management.
What limits are assigned to a process upon creation in Windows regarding its memory usage?,A `working-set minimum` (50 pages) and a `working-set maximum` (345 pages).
Define `working-set minimum` in Windows.,Minimum number of frames guaranteed to a process in memory.
Define `working-set maximum` in Windows.,Maximum number of frames allowed to a process if sufficient memory is available.
Define `hard working-set limit` in Windows.,"Maximum amount of physical memory a process is allowed to use. If configured, working-set minimum and maximum values may be ignored."
Can a process in Windows grow beyond its `working-set maximum`?,"Yes, if memory is available."
Can memory allocated to a process in Windows shrink below its `working-set minimum`?,"Yes, during high memory demand."
What page replacement algorithm does Windows use?,LRU-approximation clock algorithm (second-chance) with local and global policies.
What does the Virtual Memory Manager in Windows maintain to manage page frames?,A free page frames list with a threshold.
What happens in Windows if a page fault occurs for a process that is currently below its `working-set maximum`?,A page is allocated from the free list.
"What happens in Windows if a process is at its `working-set maximum`, experiences a page fault, and there's sufficient free memory?","A free page is allocated, and the process grows beyond its `working-set maximum`."
What happens in Windows if there is insufficient free memory when a page fault occurs?,The kernel selects a page from the process's working set for replacement (using a local LRU policy).
What global replacement tactic does Windows employ if free memory falls below its threshold?,`Automatic working-set trimming`.
Define `automatic working-set trimming` in Windows.,Decreasing working-set frames for processes if the minimum free memory threshold is reached.
How does `automatic working-set trimming` work in Windows?,"It evaluates pages allocated to processes and, if a process has more pages than its `working-set minimum`, removes pages until sufficient memory is available or the process reaches its minimum."
Which processes are targeted first during `automatic working-set trimming` in Windows?,"Larger, idle processes are targeted before smaller, active processes."
How long does `automatic working-set trimming` continue in Windows?,"Until sufficient free memory is achieved, even if processes are trimmed below their `working-set minimum`."
What types of processes does Windows perform trimming on?,User-mode and system processes.
How does Solaris handle a page fault incurred by a thread?,The kernel assigns a page from the free list.
What is a critical imperative for the kernel in Solaris regarding memory?,To keep sufficient free memory.
What is the `lotsfree` parameter in Solaris?,"A threshold that, when free memory falls below it, causes the system to begin paging."
What is the typical value for the `lotsfree` parameter in Solaris?,1/64 of physical memory.
How often does the Solaris kernel check free memory against `lotsfree`?,Four times per second.
What happens in Solaris if the number of free pages falls below `lotsfree`?,The `pageout` process starts.
What mechanism does the `pageout` process in Solaris use for page replacement?,It's similar to a second-chance algorithm and uses two hands.
"Describe the action of the ""front hand"" in the Solaris `pageout` process.",It scans all pages and sets their reference bit to 0.
"Describe the action of the ""back hand"" in the Solaris `pageout` process.","It examines the reference bit; if it's still 0, the page is appended to the free list and written to secondary storage if modified."
"How does Solaris manage ""minor page faults""?",A process can reclaim a page from the free list if it was accessed before being reassigned.
What parameters does the Solaris pageout algorithm use to control its operation?,Parameters to control the `scanrate` (pages per second).
What is the range of `scanrate` in Solaris?,From `slowscan` to `fastscan`.
What is the default `slowscan` rate in Solaris?,100 pages/sec.
What is the `fastscan` rate in Solaris?,"Total physical pages/2, with a maximum of 8,192 pages/sec."
"What determines the `scanrate` in Solaris, particularly how it progresses from `slowscan` to `fastscan`?",The amount of free memory available.
What system parameter in Solaris determines the distance between the two hands of the pageout process?,`handspread`.
What determines the time between clearing a page's reference bit and checking it in Solaris?,The `scanrate` and `handspread` parameters.
How often does the Solaris `pageout` process check the amount of free memory?,Four times per second.
What happens in Solaris if free memory falls below `desfree`?,The `pageout` process runs 100 times per second.
What is the goal of the `desfree` parameter in Solaris?,To keep at least `desfree` amount of memory available.
What action does the Solaris kernel take if it's unable to maintain `desfree` memory for a 30-second average?,"It swaps processes, freeing all their pages."
Which processes does the Solaris kernel prioritize for swapping if it cannot maintain `desfree` memory?,Idle processes.
What happens in Solaris if the system is unable to maintain `minfree` memory?,The `pageout` process is called for every new page request.
"What types of pages does the Solaris page-scanning algorithm specifically skip, even if they are eligible for reclamation?",Shared library pages.
What distinction does Solaris make regarding pages in its virtual memory management?,It distinguishes between pages for processes and regular data files.
"What is the term for Solaris's approach of prioritizing the selection of victim frames based on certain criteria (e.g., avoiding shared library pages)?",`Priority paging`.
Define `priority paging` in Solaris.,"Prioritizing selection of victim frames based on criteria, such as avoiding shared library pages."
Define Virtual Memory.,Abstracts physical memory into an extremely large uniform array of storage.
What is a benefit of virtual memory regarding program size?,A program can be larger than physical memory.
What is a benefit of virtual memory regarding a program's entire presence in memory?,A program does not need to be entirely in memory.
What is a benefit of virtual memory regarding process memory sharing?,Processes can share memory.
What is a benefit of virtual memory regarding process creation?,Processes can be created more efficiently.
What is Demand Paging?,Pages are loaded only when demanded during program execution.
What happens to pages never demanded in a demand paging system?,Pages never demanded are never loaded.
What is a Page Fault?,Occurs when a page not in memory is accessed.
What action is required when a page fault occurs?,The page must be brought from the backing store into an available page frame.
Explain Copy-on-write.,A mechanism where a child process shares the same address space as its parent.
What happens in Copy-on-write if a child or parent modifies a page?,A copy of the page is made.
When is a page-replacement algorithm used?,"When available memory is low, it selects an existing page to replace."
Name common page-replacement algorithms.,"FIFO, optimal, LRU."
Why is pure LRU impractical to implement?,It is impractical to implement; most systems use LRU-approximation algorithms.
Define Global page-replacement algorithms.,Algorithms that select a page from any process for replacement.
Define Local page-replacement algorithms.,Algorithms that select a page from the faulting process for replacement.
What is Thrashing?,A state where the system spends more time paging than executing.
Define Locality in memory management.,A set of pages actively used together.
How does process execution relate to locality?,Process execution moves from locality to locality.
What is a Working Set?,"Based on locality, it is the set of pages currently in use by a process."
What is Memory Compression?,A technique that compresses a number of pages into a single page.
When is memory compression used as an alternative to paging?,On mobile systems without paging support.
How is Kernel memory allocated differently than user-mode processes?,It is allocated in contiguous chunks of varying sizes.
Name two common techniques for kernel memory allocation.,Buddy system and Slab allocation.
What is TLB reach?,The amount of memory accessible from the TLB (Translation Lookaside Buffer).
How is TLB reach calculated?,Equal to the number of entries in TLB multiplied by the page size (Number of entries in TLB × page size).
What is a technique to increase TLB reach?,Increase page size.
"How do Linux, Windows, and Solaris manage virtual memory?","They manage it similarly, using demand paging, copy-on-write, and variations of LRU approximation (clock algorithm)."
What is the traditional approach to program loading at execution time?,Loading the entire program into physical memory.
What is a problem with loading an entire program into memory at execution?,"The entire program may not be needed initially (e.g., unselected options), leading to inefficient memory use."
What is demand paging?,"An alternative program loading method where pages are loaded only as needed, or 'demanded,' during execution."
What happens to unaccessed pages in demand paging?,They are never loaded into physical memory.
What is demand paging similar to?,Paging with swapping.
What is the primary benefit of demand paging?,More efficient memory use by loading only needed portions of a program.
What hardware support is needed to distinguish between pages in memory and those in secondary storage for demand paging?,A valid-invalid bit scheme.
"In the valid-invalid bit scheme, what does a 'valid' bit indicate?",The page is legal and currently in physical memory.
"In the valid-invalid bit scheme, what does an 'invalid' bit indicate?",The page is not valid (not part of the logical address space) or it is valid but currently resides in secondary storage.
How is a page-table entry for a non-memory-resident page marked?,It is marked as invalid.
What event occurs when a process attempts to access a page marked invalid in its page table?,A page fault.
What does a page fault cause?,A trap to the operating system (OS).
What is the first step the OS takes when handling a page fault?,Check an internal table (like the process control block) to determine if the memory access is valid or invalid.
What happens if a page fault indicates an invalid memory access?,The process is terminated.
What happens if a page fault indicates a valid memory access but the page is not in memory?,The OS pages the required page into memory.
What is the second step in handling a page fault after determining the page needs to be brought in?,Find a free frame in physical memory.
What is the third step in handling a page fault after finding a free frame?,Schedule a secondary storage operation to read the desired page into the newly found free frame.
What is the fourth step in handling a page fault after the storage read is complete?,Modify the internal table and the process's page table to indicate that the page is now in memory.
What is the final step in handling a page fault?,"Restart the interrupted instruction, allowing the process to access the page as if it had always been in memory."
What is pure demand paging?,"A demand paging strategy where a process starts with no pages in memory, and page faults occur for every page as it is needed."
What concept contributes to reasonable demand paging performance?,Locality of reference.
What two main hardware components are crucial for demand paging?,"A page table (to mark entries invalid) and secondary memory (swap device, swap space) to hold non-main-memory pages."
What is a crucial requirement for an instruction set architecture to support demand paging effectively?,The ability to restart any instruction after a page fault without issues.
What process state information must be saved on a page fault to allow for instruction restart?,"Registers, condition code, and the instruction counter."
"What is a difficulty encountered when restarting instructions after a page fault, especially for complex instructions?","Instructions that modify multiple locations (e.g., IBM System 360/370 MVC instruction)."
What is one solution for handling instructions that modify multiple locations during a page fault?,"Using microcode to access both ends of memory blocks before modification; if a fault occurs, it happens before any modification."
What is another solution for handling instructions that modify multiple locations during a page fault?,Using temporary registers to hold overwritten values and restoring these old values on a fault before the trap occurs.
How should paging be perceived by the process using it?,It should be transparent to the process.
What is the purpose of the free-frame list?,"It is a pool of free physical memory frames maintained by the OS, used for handling page faults and other allocations."
"Besides page faults, for what other purposes are free frames allocated?",For stack and heap segment expansion.
What is zero-fill-on-demand?,A security practice where frames are 'zeroed-out' (filled with zeros) before being allocated to a process.
What is the state of the free-frame list at system startup?,All available physical memory is placed on the free-frame list.
How does demand paging affect system performance?,"It significantly affects performance, primarily through the page-fault rate."
What is the formula for calculating effective access time for demand-paged memory?,"Effective access time = (1 - p) × memory-access time (ma) + p × page fault time, where p is the probability of a page fault."
What are the three main components of page fault service time?,1. Servicing the page-fault interrupt. 2. Reading in the page from secondary storage. 3. Restarting the process.
Roughly how long do the software components (interrupt service and process restart) of a page fault typically take?,1 to 100 microseconds.
Roughly how long does an HDD page-switch operation typically take?,"~8 milliseconds (composed of ~3ms latency, ~5ms seek, and ~0.05ms transfer)."
What is the general relationship between effective access time and page-fault rate?,Effective access time is directly proportional to the page-fault rate.
"If the memory access time is 200 ns and page-fault service time is 8 ms, how much slowdown occurs with a page-fault rate of 1/1000?","The effective access time becomes 8.2 microseconds, which is a 40x slowdown compared to 200 ns."
Why is a very low page-fault rate crucial for good demand-paging performance?,"Because the time to service a page fault (milliseconds) is orders of magnitude slower than memory access time (nanoseconds), even a small fault rate can drastically increase effective access time."
Why is swap space I/O generally faster than file system I/O?,"Swap space I/O often involves larger blocks and avoids file lookups, making it more efficient."
What is one strategy for using swap space where the entire file image is copied at startup?,"Copying the entire file image to swap space at startup, then demand-paging from swap space. (Disadvantage: initial copy)."
What swap space usage strategy is employed by Linux and Windows for demand paging?,"Demand-paging from the file system initially, and writing pages to swap space only when they are replaced (become dirty)."
How do Linux and BSD UNIX often handle demand paging for binary executables?,"They demand-page them directly from the file system, treating the file system itself as the backing store for these read-only pages. Frames are overwritten when replaced."
"What type of memory still typically uses swap space, regardless of the overall swap strategy?","Anonymous memory (e.g., stack and heap)."
How do mobile operating systems like iOS typically handle memory and swapping?,They usually have no traditional swapping. They demand-page from the file system and reclaim read-only pages if memory is constrained. Anonymous memory pages are not reclaimed unless the app terminates or releases memory.
What is an alternative to swapping used in some mobile systems?,Compressed memory.
demand paging,Bringing in pages from storage as needed rather than entirely at process load time.
page fault,Fault from reference to a non-memory-resident page.
pure demand paging,Demand paging where no page is brought into memory until referenced.
