Front,Back,Reversible
Why do computer systems need mass storage?,For permanently storing files and data.,y
What types of secondary storage do modern computers use?,Hard disks (HDDs) and nonvolatile memory (NVM) devices.,y
How do secondary storage devices vary in terms of data transfer granularity?,Character at a time vs. block of characters.,y
How do secondary storage devices vary in terms of access method?,Sequentially vs. randomly.,y
How do secondary storage devices vary in terms of data transfer timing?,Synchronously vs. asynchronously.,y
How do secondary storage devices vary in terms of usage?,Dedicated vs. shared.,y
How do secondary storage devices vary in terms of write capability?,Read-only vs. read-write.,y
What is the speed characteristic of secondary storage compared to other computer components?,It is the slowest major component of the computer.,y
What is a requirement for the OS regarding device control?,It needs to provide a wide range of functionality for device control.,y
What are the key goals of an OS I/O subsystem concerning interfaces?,To provide the simplest interface possible to the rest of the system.,y
What are the key goals of an OS I/O subsystem concerning performance?,"To optimize I/O for maximum concurrency, as devices are a performance bottleneck.",y
Define Mass storage.,The nonvolatile storage system of a computer.,y
What are the main components of a mass-storage system?,"Secondary storage, specifically HDDs and NVM devices.",y
"What is tertiary storage, and what are some examples?","Slower, larger storage systems such as magnetic tape, optical disks, and cloud storage.",y
What is the general term for all types of non-volatile storage?,"Non-volatile storage (NVS) or ""storage drives"".",y
Define hard disk drive (HDD).,"Secondary storage device based on mechanical components (spinning magnetic media platters, moving read-write heads).",y
Define nonvolatile memory (NVM).,Persistent storage based on circuits and electric charges.,y
What is the shape of an HDD platter?,Flat circular (like a CD).,y
What are common platter diameters for HDDs?,1.8 to 3.5 inches.,y
What are the surfaces of an HDD platter covered with?,Magnetic material.,y
How is information stored and read on an HDD?,"Stored by recording magnetically, read by detecting magnetic patterns.",y
Where are read-write heads located on an HDD?,"They ""fly"" just above each surface of every platter.",y
Define disk arm (HDD).,"HDD component holding read-write head, moves over cylinders of platters.",y
How is an HDD platter surface logically divided?,Into circular tracks.,y
How are HDD tracks further subdivided?,Into sectors.,y
Define cylinder (HDD).,"On HDD, set of tracks under read-write heads on all platters in device.",y
"Approximately how many cylinders are on an HDD, and how many sectors per track?",Thousands of concentric cylinders; hundreds of sectors per track.,y
"What is the characteristic size of an HDD sector, and what is its role in data transfer?","Fixed size, and it is the smallest unit of transfer.",y
"What were common HDD sector sizes, and what is the current trend?","Commonly 512 bytes until ~2010, then migrating to 4KB.",y
What are typical storage capacities for HDDs?,Gigabytes and terabytes.,y
