Front,Back
What is a file?,A collection of related information defined by its creator; the smallest allotment of logical secondary storage from a user's perspective; a named collection of related information recorded on secondary storage.
What is the primary role of the OS regarding files and physical storage?,The OS maps files onto physical mass-storage devices.
Define 'file system'.,Describes how files map to physical devices and how they are accessed/manipulated.
What are the key design goals for file systems?,"Efficient access (as physical storage can be slow), file sharing support, and remote access."
Why is the file system considered the most visible OS aspect for users?,It provides a mechanism for online storage and access to OS data/programs and user data.
What are the two main components of a file system?,1. A collection of files (storing related data). 2. A directory structure (organizes and provides information about files).
What kind of storage do most file systems reside on?,"Nonvolatile, persistent storage devices."
How does the OS provide a uniform logical view of stored information?,It abstracts physical properties to define a logical storage unit called the file.
What types of information do files commonly represent?,Programs (source/object) and data.
What are common categories of data files?,"Numeric, alphabetic, alphanumeric, and binary."
How can files be structured in terms of formatting?,They can be free form (like text) or rigidly formatted.
What is a 'text file'?,A file containing text (alphanumeric characters); a sequence of characters organized into lines.
What is a 'source file'?,"A file containing program source code; a sequence of functions (declarations, executable statements)."
What is an 'executable file'?,A file containing a program ready for loading/execution; a series of code sections a loader can bring into memory and execute.
How are files typically named for human users?,"They are named symbolically, e.g., `example.c`."
What does it mean for a file to be 'independent'?,"A file is independent of its creator process, user, and system. A copy remains independent if no sharing or synchronization is involved."
List the typical attributes of a file.,"Name, Identifier, Type, Location, Size, Protection, Timestamps and user identification."
What is the 'Name' attribute of a file?,"The symbolic, human-readable name of the file."
What is the 'Identifier' attribute of a file?,"A unique tag (number), non-human-readable, that identifies the file within the file system."
What is the 'Type' attribute of a file?,An attribute used in systems supporting different file types to categorize the file.
What is the 'Location' attribute of a file?,A pointer to the device and the file's location on that device.
What is the 'Size' attribute of a file?,"The current size of the file (in bytes, words, or blocks), possibly including the maximum allowed size."
What is the 'Protection' attribute of a file?,"Access-control information, specifying permissions like read, write, or execute."
"What information is included in 'Timestamps and user identification' attributes of a file, and what is its purpose?","Includes creation time, last modification time, and last use time. Useful for protection, security, and monitoring."
What are 'extended file attributes'?,"Extended metadata supported by newer file systems, such as character encoding and file checksums."
What is a 'file info window'?,A GUI view of file metadata.
Where is information about all files stored within the file system structure?,"In the directory structure, typically on the same device as the files themselves."
What does a directory entry contain?,"The file name and a unique identifier, which in turn locates other attributes of the file."
