What is the fundamental definition of a process?,A file stored on a disk containing executable code.,A program in execution.,A passive entity waiting to be loaded into memory.,A set of commands executed by a batch system.,A CPU register indicating the next instruction location.,B,The text explicitly defines a process as 'Program in execution'.
Which of the following resources are typically required by a process during its execution?,Only CPU time and memory.,Only files and I/O devices.,"CPU time, memory, files, and I/O devices.",Only a program counter and CPU registers.,Only an executable file.,C,"The text states that a process 'Requires resources: CPU time, memory, files, I/O devices'."
How is a program primarily distinguished from a process in terms of their nature?,"A program is an active entity, whereas a process is a passive entity.","A program is stored in memory, whereas a process is stored on disk.","A program is a passive entity, whereas a process is an active entity.","A program requires CPU time, while a process only requires memory.","A program executes concurrently, while a process executes sequentially.",C,"The text defines a program as a 'Passive entity (e.g., executable file on disk)' and a process as an 'Active entity (program counter, associated resources)'."
Under what condition does a program typically transform into a process?,When it is compiled into an executable file.,When its source code is written.,When it is loaded into memory.,When it is deleted from the disk.,When it is identified as a user program.,C,The text clearly states: 'Program becomes a process when loaded into memory'.
"When multiple processes are associated with the same program (e.g., multiple web browser instances), which sections of their memory layout typically differ?",Only the text section.,The text section and data section.,"The data, heap, and stack sections.",Only the heap and stack sections.,"All sections, including the text section, are identical.",C,"The text clarifies that when multiple processes are associated with the same program, 'text sections are identical, but data, heap, and stack sections differ'."
What is contained within the text section of a process's memory layout?,Global variables.,Dynamically allocated memory.,Executable code.,Function parameters and local variables.,Accounting information.,C,The text defines the 'Text section' as 'Executable code'.
Which type of variables are stored in the data section of a process's memory layout?,Temporary variables.,Local variables within functions.,Dynamically allocated variables.,Global variables.,Function parameters.,D,The text specifies the 'Data section' contains 'Global variables'.
Which characteristic accurately describes the heap section of a process's memory layout?,It stores fixed-size executable code.,It contains global variables and has a fixed size.,It stores temporary data for function calls and shrinks.,It stores dynamically allocated memory and can grow or shrink.,It holds return addresses for function calls.,D,The text describes the 'Heap section' as 'Dynamically allocated memory during runtime (grows/shrinks)'.
The stack section in a process's memory layout is primarily used for what purpose?,Storing executable code.,Holding global variables.,Dynamically allocating memory at runtime.,"Storing temporary data for function calls, including parameters, return addresses, and local variables.",Managing I/O device allocations.,D,"The text states the 'Stack section' holds 'Temporary data for function calls (parameters, return addresses, local variables)'."
"In a typical process memory layout, how do the stack and heap sections interact regarding their growth?",Both grow downwards from the top of memory.,Both grow upwards from the bottom of memory.,"The stack grows downwards and the heap grows upwards, towards each other.","The stack grows upwards and the heap grows downwards, away from each other.",Their growth directions are fixed and do not allow for overlap.,C,The text explicitly states: 'Stack and heap grow towards each other; OS prevents overlap.' This implies they grow from opposite ends of an allocated memory space.
"What is an activation record, and how is it used in the context of process memory?",A fixed-size section for global variables.,"A record created when a function is called, pushed onto the stack.",A section for dynamically allocated memory.,A pointer to the next instruction to be executed.,A part of the Process Control Block for accounting information.,B,"The text states: 'Activation record: Pushed onto stack on function call, popped on return.' The glossary further specifies it's 'A record created when a function or subroutine is called; added to the stack by the call and removed when the call returns. Contains function parameters, local variables, and the return address.'"
In which process state are instructions currently being executed by the CPU?,New,Ready,Waiting,Running,Terminated,D,The text defines the 'Running' state as when 'Instructions are being executed (only one process per processor core at any instant)'.
"A process enters the ""Waiting"" state under which of the following circumstances?",It is being created.,It is waiting to be assigned to a processor.,It has finished execution.,"It is waiting for an event to complete, such as I/O or a signal.",Its instructions are actively being executed.,D,"The text defines the 'Waiting' state as when a 'Process is waiting for an event (e.g., I/O completion, signal reception)'."
"What does it mean for a process to be in the ""Ready"" state?",It is currently executing instructions.,It is in the process of being created.,It has completed its execution.,It is waiting for an I/O operation to finish.,It is waiting to be assigned to a processor.,E,The text defines the 'Ready' state as when a 'Process is waiting to be assigned to a processor'.
Which process state indicates that the process is currently undergoing creation?,Ready,Running,New,Waiting,Terminated,C,The text defines the 'New' state as when a 'Process is being created'.
