Question,Option A,Option B,Option C,Option D,Option E,Answer,Explanation
"In the context of operating system scheduling examples, what does the term ""process scheduling"" generally refer to for Solaris and Windows operating systems?",User-level threads,Application processes,Kernel threads,Background services,Graphical user interface tasks,C,"The text states, ""The term 'process scheduling' is used generally, referring to kernel threads (Solaris, Windows) or tasks (Linux)."""
Which of the following best describes the evolution of the Linux scheduler prior to Version 2.6.23?,"Started with O(1) scheduler, then moved to traditional UNIX scheduling.",Always used the Completely Fair Scheduler (CFS) since its inception.,"Began with traditional UNIX scheduling, then introduced the O(1) scheduler, and later CFS.",Directly transitioned from traditional UNIX scheduling to CFS.,Focused only on single-processor systems before Version 2.5.,C,"Linux scheduling history shows: 'Prior to Version 2.5: Traditional UNIX scheduling', 'Version 2.5: Introduced O(1) scheduler', and 'Version 2.6.23: Completely Fair Scheduler (CFS) became default'."
What significant improvements were introduced with the Linux O(1) scheduler in Version 2.5?,Reduced real-time latency and dynamic priority adjustments.,"Constant time scheduling, improved SMP support, processor affinity, and load balancing.",Integration of user-mode scheduling and the Concurrency Runtime.,Introduction of scheduling domains and NUMA node awareness.,Strict adherence to POSIX real-time standards only.,B,"The O(1) scheduler 'Introduced O(1) scheduler (constant time regardless of tasks), improved SMP support, processor affinity, and load balancing'."
On what fundamental concept is Linux scheduling based?,A single global priority queue for all tasks.,Strict time-slicing with equal quantum for all tasks.,"Scheduling classes, each with a specific priority.",User-defined priorities that override kernel settings.,A purely round-robin algorithm for all tasks.,C,"The text states, 'Linux scheduling is based on scheduling classes, each with a specific priority'."
Which two standard scheduling classes are implemented by default in Linux kernels?,Interactive and Time-sharing,System and Fixed-priority,Fair share and Real-time,Default (CFS) and Real-time,Variable and Real-time,D,Standard Linux kernels implement two classes: default (CFS) and real-time.
"In the Linux Completely Fair Scheduler (CFS), how is a proportion of CPU time assigned to each task?","Based on its process ID, with lower IDs getting more time.","Strictly on a round-robin basis, irrespective of task type.","According to its nice value, which influences its relative scheduling priority.",By assigning a fixed time quantum to every runnable task.,By dynamically adjusting priority based on I/O wait times only.,C,The CFS scheduler 'Assigns a proportion of CPU time to each task based on its nice value'.
What is the range and meaning of the 'nice value' used in the Linux CFS scheduler?,"0 to 100, where higher values indicate higher priority.","-20 to +19, where a numerically lower value indicates higher priority.","1 to 32, where values correspond to fixed time quanta.","0 to 99, used exclusively for real-time tasks.","-10 to +10, where values are dynamically adjusted by the kernel.",B,The nice value range is '-20 to +19; lower value = higher priority'.
What concept in the Linux CFS scheduler refers to an interval during which every runnable task should run at least once?,Time quantum,Virtual run time,Targeted latency,Scheduling epoch,Dynamic priority adjustment,C,The text defines 'targeted latency' as 'an interval during which every runnable task should run at least once'.
How does the Linux CFS scheduler primarily select the next task to run?,It selects the task that has been waiting the longest.,It chooses the task with the highest static priority.,It selects the task with the smallest virtual run time (vruntime).,It randomly picks a task from the runnable queue.,It prioritizes tasks based on their memory usage.,C,The CFS scheduler 'Selects the task with the smallest vruntime to run next'.
How does the Linux CFS scheduler typically handle I/O-bound tasks compared to CPU-bound tasks?,It gives CPU-bound tasks higher priority due to their longer burst times.,It assigns both types of tasks equal priority to ensure fairness.,It gives I/O-bound tasks higher priority because their vruntime is lower due to shorter bursts.,It delays I/O-bound tasks to allow CPU-bound tasks to complete faster.,It migrates I/O-bound tasks to different NUMA nodes.,C,CFS 'Handles I/O-bound vs. CPU-bound tasks by giving I/O-bound tasks higher priority due to their lower vruntime (they run for shorter bursts)'.
