Front,Back,Reversible
What is a multiprogramming environment?,An environment where multiple threads compete for finite resources.,y
What happens when a thread requests a resource that is unavailable?,The thread enters a waiting state.,y
Define deadlock.,A situation where a waiting thread can never change state because its requested resources are held by other waiting threads.,y
Provide the formal definition of deadlock.,Every process in a set is waiting for an event that can only be caused by another process in the set.,y
How is a system composed in the context of resource management?,A finite number of resources are distributed among competing threads.,y
How are resources typically partitioned in a system model?,"Resources are partitioned into types (classes), each with identical instances.",y
What is true about instances within a resource type?,"All instances within a resource type are identical, and any instance of a resource type should satisfy a request.",y
Give examples of resource types.,"CPU cycles, files, I/O devices.",y
"If a system has 4 CPUs, how is the resource type 'CPU' characterized?",The resource type 'CPU' has 4 instances.,y
What synchronization tools are common sources of deadlock?,Mutex locks and semaphores.,y
How are individual lock instances typically treated as resources?,"Each lock instance is typically its own resource class (e.g., one lock for a queue, another for a linked list).",y
What are the three steps in the resource utilization sequence for a thread?,"1. Request, 2. Use, 3. Release.",y
"Describe the ""Request"" step in the resource utilization sequence.",A thread requests a resource and waits if it is not immediately available.,y
"Describe the ""Use"" step in the resource utilization sequence.",A thread operates on the resource.,y
"Describe the ""Release"" step in the resource utilization sequence.",A thread releases the resource.,y
How can resource requests and releases be made in a system?,"Via system calls (e.g., \texttt{request()}, \texttt{release()}, \texttt{open()}, \texttt{close()}, \texttt{allocate()}, \texttt{free()}) or via semaphore operations (\texttt{wait()}, \texttt{signal()}) and mutex locks (\texttt{acquire()}, \texttt{release()}).",y
What is the role of the OS regarding resource allocation?,The OS checks for resource allocation via a system table.,y
What information does the OS's system table track regarding resources?,It tracks free/allocated resources and the owning thread.,y
How are waiting threads managed by the OS in relation to resources?,Waiting threads are queued for requested resources.,y
Define a deadlocked state in terms of threads.,Every thread in a set is waiting for an event that can only be caused by another thread in the set.,y
What are the main events that threads wait for in a deadlocked state?,Resource acquisition and release.,y
Give an example of a problem that illustrates a deadlocked state.,"The Dining-philosophers problem, where each philosopher holds one chopstick and waits for another, creating a circular wait.",y
What is the developer's responsibility regarding deadlock?,Developers must be aware of deadlock possibilities.,y
What is an important consideration when using locking tools to prevent race conditions?,Locking tools require careful management of lock acquisition/release to avoid deadlocks.,y
"From the section glossary, define deadlock.",The state in which two processes or threads are stuck waiting for an event that can only be caused by one of the processes or threads.,y
What does `pthread_mutex_init()` do?,Initializes an unlocked POSIX mutex lock.,y
What does `pthread_mutex_lock()` do?,Acquires a POSIX mutex lock; blocks the calling thread if the lock is currently held.,y
What does `pthread_mutex_unlock()` do?,Releases a POSIX mutex lock.,y
Describe a classic deadlock scenario involving two threads and two mutexes.,"Two mutexes (`first_mutex`, `second_mutex`) and two threads (`thread_one`, `thread_two`). `thread_one` locks `first_mutex` then `second_mutex`. `thread_two` locks `second_mutex` then `first_mutex`. Deadlock is possible if `thread_one` acquires `first_mutex` and `thread_two` acquires `second_mutex`, causing both to block indefinitely waiting for the other's lock.",y
Why are deadlocks difficult to identify and test for?,Deadlocks have an intermittent nature; their occurrence depends on the CPU scheduler and thread timing. They might not occur consistently even under similar conditions.,y
Define livelock.,"A liveness failure where a thread continuously attempts an action that fails. It's similar to deadlock, but threads are not blocked; they are active but make no progress.",y
How is livelock similar to and different from deadlock?,Both are liveness failures. Deadlock involves blocked threads. Livelock involves active threads continuously attempting failing actions without making progress.,y
Provide an analogy for livelock.,"Two people trying to pass in a hallway, repeatedly moving into each other's way, active but making no progress.",y
What does `pthread_mutex_trylock()` do?,"Attempts to acquire a POSIX mutex lock without blocking. It returns immediately, indicating success or failure.",y
Describe a livelock scenario involving `pthread_mutex_trylock()`.,"`thread_one` acquires `first_mutex`, `thread_two` acquires `second_mutex`. Both then call `trylock` on the other mutex, which fails. They release their currently held locks and repeat the cycle indefinitely, never making progress.",y
How can livelock often be avoided?,By having threads retry failing operations at random times instead of simultaneously.,y
What real-world example demonstrates a mechanism to avoid issues similar to livelock?,"In Ethernet, hosts involved in a network collision 'backoff' for a random period before retransmitting data.",y
Is livelock more or less common than deadlock?,"Livelock is generally less common than deadlock, but both are challenges in concurrent application design.",y
What are the four necessary conditions that must hold simultaneously for a deadlock situation to arise?,"Mutual exclusion, Hold and wait, No preemption, and Circular wait.",y
"Define ""Mutual exclusion"" as a necessary condition for deadlock.",At least one resource must be held in a nonsharable mode.,y
"Define ""Hold and wait"" as a necessary condition for deadlock.",A thread must be holding at least one resource and waiting to acquire additional resources held by other threads.,y
"Define ""No preemption"" as a necessary condition for deadlock.",A resource can be released only voluntarily by the thread holding it.,y
"Define ""Circular wait"" as a necessary condition for deadlock.","A set of waiting threads {T0, T1, ..., Tn} must exist such that T0 is waiting for a resource held by T1, T1 is waiting for a resource held by T2, ..., Tn-1 is waiting for a resource held by Tn, and Tn is waiting for a resource held by T0.",y
Is it true that all four necessary conditions for deadlock must hold for it to occur?,"Yes, all four conditions (Mutual exclusion, Hold and wait, No preemption, and Circular wait) must hold simultaneously.",y
"Which of the necessary deadlock conditions implies the ""Hold and wait"" condition?",The circular-wait condition.,y
What is a system resource-allocation graph?,A directed graph used for the precise description of deadlocks.,y
